"","Water.Control.Zone","Station","Dates","Sample.No","Depth","Volatile.Suspended.Solids..mg.L.","Unionised.Ammonia..mg.L.","Turbidity..NTU.","Total.Phosphorus..mg.L.","Total.Nitrogen..mg.L.","Total.Kjeldahl.Nitrogen..mg.L.","Total.Inorganic.Nitrogen..mg.L.","Temperature...C.","Suspended.Solids..mg.L.","Silica..mg.L.","Secchi.Disc.Depth..M.","Salinity..psu.","Phaeo.pigments..μg.L.","pH","Orthophosphate.Phosphorus..mg.L.","Nitrite.Nitrogen..mg.L.","Nitrate.Nitrogen..mg.L.","Faecal.Coliforms..cfu.100mL.","E..coli..cfu.100mL.","Dissolved.Oxygen..mg.L.","Dissolved.Oxygen...saturation.","Chlorophyll.a..μg.L.","Ammonia.Nitrogen..mg.L.","X5.day.Biochemical.Oxygen.Demand..mg.L.","site","phase"
"3183","Tolo Harbour and Channel","TM4","2022-08-17",1,"Surface Water","0.9","0.002","6.5","0.07","0.25","0.24","0.04",30.5,"2.7","1.1",1.8,25.5,"1.1",8.1,"<0.002","<0.002","0.012","300","9",6.6,102,"5.8","0.021","2","CI","final"
"3184","Tolo Harbour and Channel","TM4","2022-08-17",1,"Middle Water","1.2","0.001","6.1","0.03","0.24","0.23","0.03",30.2,"2","0.92",1.8,26.5,"1.5",8,"<0.002","<0.002","0.012","220","14",6,92,"5.4","0.018","2","CI","final"
"3185","Tolo Harbour and Channel","TM4","2022-08-17",1,"Bottom Water","1.1","0.001","6","0.02","0.27","0.25","0.05",28.7,"2.2","0.82",1.8,29.7,"1",7.9,"<0.002","<0.002","0.014","200","5",5.9,90,"5.4","0.031","1.6","CI","final"
"3186","Tolo Harbour and Channel","TM4","2022-09-19",1,"Surface Water","7.8","<0.001","12.5","0.06","0.56","0.48","0.12",30,"2.4","0.74",2.5,30.3,"<0.2",7.4,"<0.002","0.005","0.071","2000","530",5.4,85,"6.1","0.04","1.5","CI","final"
"3187","Tolo Harbour and Channel","TM4","2022-09-19",1,"Middle Water","1.5","<0.001","7","0.07","0.41","0.36","0.07",29.6,"2.2","0.6",2.5,31.5,"0.9",7.3,"<0.002","<0.002","0.049","660","100",6,93,"5.1","0.023","1.2","CI","final"
"3188","Tolo Harbour and Channel","TM4","2022-09-19",1,"Bottom Water","1","<0.001","10.1","0.08","0.41","0.37","0.07",28.5,"2.8","0.52",2.5,31.9,"2",7.2,"<0.002","0.004","0.039","430","100",3.2,48,"7.6","0.027","1.2","CI","final"
"3189","Tolo Harbour and Channel","TM4","2022-10-20",1,"Surface Water","1.6","0.001","4.1","0.05","0.59","0.57","0.03",25.3,"2.6","0.66",2.5,31,"1.1",8.2,"<0.002","<0.002","0.013","50","1",5.6,81,"5.8","0.015","1.9","CI","final"
"3190","Tolo Harbour and Channel","TM4","2022-10-20",1,"Middle Water","1.1","0.002","4.1","0.05","0.63","0.61","0.05",25.2,"1.1","0.68",2.5,31.3,"2.1",8.2,"0.006","<0.002","0.021","69","1",7,102,"6.5","0.027","1.7","CI","final"
"3191","Tolo Harbour and Channel","TM4","2022-10-20",1,"Bottom Water","1.2","0.002","4.3","0.06","0.48","0.46","0.04",25.4,"2","0.7",2.5,31.7,"1.5",8.1,"0.009","<0.002","0.016","49","2",6,88,"6.9","0.025","1.4","CI","final"
"3192","Tolo Harbour and Channel","TM4","2022-11-16",1,"Surface Water","1.1","<0.001","25.1","0.08","0.57","0.56","0.04",24.7,"1.4","0.87",2.1,31,"1.1",7.4,"<0.002","<0.002","0.004","2","1",7.2,104,"8.3","0.036","2.5","CI","final"
"3193","Tolo Harbour and Channel","TM4","2022-11-16",1,"Middle Water","1","<0.001","7.4","0.07","0.47","0.45","0.06",24.6,"1.3","1",2.1,32.2,"1.7",7.3,"<0.002","0.004","0.012","14","2",7.3,105,"6.2","0.039","4","CI","final"
"3194","Tolo Harbour and Channel","TM4","2022-11-16",1,"Bottom Water","8.5","<0.001","13.2","0.07","0.72","0.68","0.09",23.9,"9.5","1.2",2.1,33.1,"1.2",7,"<0.002","0.017","0.02","6","2",2.2,31,"5.4","0.056","2.4","CI","final"
"3195","Tolo Harbour and Channel","TM4","2022-12-14",1,"Surface Water","2.2","<0.001","2.3","0.05","0.7","0.69","0.05",19.4,"5.3","0.64",2.1,32.1,"2.7",7.5,"<0.002","<0.002","0.012","90","41",6.2,82,"12","0.039","1.4","CI","final"
"3196","Tolo Harbour and Channel","TM4","2022-12-14",1,"Middle Water","1.4","<0.001","7.1","0.05","0.7","0.68","0.06",20,"4.1","0.6",2.1,32.3,"1.8",7.5,"0.034","<0.002","0.013","100","48",7.1,95,"13","0.044","1.3","CI","final"
"3197","Tolo Harbour and Channel","TM4","2022-12-14",1,"Bottom Water","2.6","<0.001","2.6","0.05","0.54","0.52","0.05",20.1,"9","0.65",2.1,32.3,"2",7.5,"<0.002","<0.002","0.015","90","36",7.2,95,"11","0.03","1.3","CI","final"
"3546","Southern","SM1","2020-06-17",1,"Surface Water","1.7","0.008","3.6","<0.02","1.13","0.51","0.75",28.7,"4","3.4",3,19.7,"0.6",8,"0.01","0.055","0.56","2","1",6.3,91,"4.6","0.13","1.1","CDA","initial"
"3547","Southern","SM1","2020-06-17",1,"Middle Water","1.6","0.001","1.5","0.03","0.67","0.28","0.43",26.1,"7.6","2.4",3,28.9,"1.4",7.7,"0.003","0.052","0.34","6","4",6.3,91,"2.4","0.04","0.7","CDA","initial"
"3548","Southern","SM1","2020-06-17",1,"Bottom Water","2.2","<0.001","4.6","0.03","1.02","0.87","0.19",23.9,"12","1.9",3,34,"0.3",7.8,"0.004","0.032","0.12","6","1",3.9,48,"2.5","0.042","0.6","CDA","initial"
"3549","Southern","SM1","2020-07-03",1,"Surface Water","2","0.012","7.2","<0.02","0.5","0.27","0.3",29.2,"3","0.11",2.6,23.8,"2.2",8.5,"0.011","0.017","0.21","4","2",6.1,90,"14","0.076","2.7","CDA","initial"
"3550","Southern","SM1","2020-07-03",1,"Middle Water","1.1","<0.001","1.4","0.04","0.27","0.12","0.17",25.4,"2.6","0.73",2.6,30.2,"1.4",8,"0.004","0.03","0.12","59","25",7.5,108,"5.9","0.017","1.4","CDA","initial"
"3551","Southern","SM1","2020-07-03",1,"Bottom Water","1","<0.001","3.1","0.04","0.18","0.07","0.14",22.7,"3.5","1.3",2.6,34.2,"2",7.9,"0.01","0.034","0.08","8","3",3.4,48,"2.1","0.029","0.7","CDA","initial"
"3552","Southern","SM1","2020-09-10",1,"Surface Water","0.8","0.001","1.7","<0.02","0.86","0.83","0.05",28.5,"1.2","0.74",4,31,"0.3",8,"0.003","<0.002","0.024","2","1",5.6,86,"2.1","0.024","0.8","CDA","initial"
"3553","Southern","SM1","2020-09-10",1,"Middle Water","0.9","0.002","1.7","<0.02","0.57","0.55","0.05",28.3,"1.5","0.39",4,31.8,"<0.2",8,"0.004","0.005","0.014","8","1",5.1,78,"1.1","0.031","0.6","CDA","initial"
"3554","Southern","SM1","2020-09-10",1,"Bottom Water","2","<0.001","2.2","0.04","0.73","0.72","0.03",26.6,"7.6","0.32",4,33.2,"1",7.9,"0.005","0.003","0.011","4","1",4.7,71,"1.7","0.018","1.1","CDA","initial"
"3555","Southern","SM1","2020-10-08",1,"Surface Water","2.3","0.001","4.7","0.06","0.05","<0.05","0.02",28.2,"11","0.36",2,32.8,"<0.2",8.1,"0.005","<0.002","<0.002","6","1",5.6,86,"2.7","0.016","<0.1","CDA","initial"
"3556","Southern","SM1","2020-10-08",1,"Middle Water","2.4","<0.001","3.6","0.08","0.07","0.07","0.01",28.2,"11","0.38",2,32.9,"0.5",8.1,"0.004","<0.002","<0.002","3","<1",6,93,"1.7","0.008","0.2","CDA","initial"
"3557","Southern","SM1","2020-10-08",1,"Bottom Water","2.4","<0.001","4.3","0.07","0.05","<0.05","0.02",28.1,"9.8","0.42",2,32.9,"0.7",8.1,"0.005","<0.002","<0.002","<1","<1",6,93,"1.7","0.013","<0.1","CDA","initial"
"3558","Southern","SM1","2020-11-09",1,"Surface Water","0.7","<0.001","5","0.04","1.32","1.2","0.12",23.4,"1.8","0.77",3.3,32.5,"0.5",7.9,"0.011","0.007","0.11","2","2",6.5,92,"1.6","<0.005","0.8","CDA","initial"
"3559","Southern","SM1","2020-11-09",1,"Middle Water","0.7","<0.001","3","0.04","0.69","0.57","0.12",23.4,"1.9","0.8",3.3,32.5,"1",7.9,"0.012","0.008","0.11","1","<1",6.7,95,"1.3","0.005","0.6","CDA","initial"
"3560","Southern","SM1","2020-11-09",1,"Bottom Water","<0.5","<0.001","2.7","0.05","0.58","0.47","0.12",23.7,"1.3","0.79",3.3,32.7,"0.8",7.9,"0.01","0.008","0.1","2","<1",7.3,104,"2.4","0.01","0.6","CDA","initial"
"3561","Southern","SM1","2021-02-25",1,"Surface Water","<0.5","0.001","3.9","0.03","0.69","0.68","0.06",20.2,"<0.5","0.36",3.6,33.1,"<0.2",7.8,"0.005","<0.002","0.007","1","1",5.2,70,"0.8","0.049","0.9","CDA","initial"
"3562","Southern","SM1","2021-02-25",1,"Middle Water","0.6","<0.001","2.8","0.04","0.98","0.97","0.05",20.2,"1","0.37",3.6,33.1,"<0.2",7.8,"0.007","<0.002","0.005","1","1",5.3,71,"0.8","0.045","0.4","CDA","initial"
"3563","Southern","SM1","2021-02-25",1,"Bottom Water","<0.5","0.001","3","0.04","0.29","0.28","0.06",20.3,"1.2","0.37",3.6,33.3,"<0.2",7.8,"0.007","0.003","0.006","1","1",5.4,73,"0.7","0.055","0.2","CDA","initial"
"3564","Southern","SM1","2021-03-18",1,"Surface Water","<0.5","0.001","2.8","0.05","0.17","0.15","0.07",21.9,"0.6","0.56",6,33.3,"<0.2",7.8,"0.006","<0.002","0.017","<1","<1",4.9,68,"1.7","0.051","1.5","CDA","initial"
"3565","Southern","SM1","2021-03-18",1,"Middle Water","<0.5","0.001","2.3","0.05","0.11","0.09","0.08",21.8,"0.6","0.49",6,33.3,"<0.2",7.8,"0.004","<0.002","0.015","<1","<1",4.8,67,"1.1","0.058","1","CDA","initial"
"3566","Southern","SM1","2021-03-18",1,"Bottom Water","<0.5","0.001","2.5","0.05","0.14","0.12","0.08",21.8,"1","0.48",6,33.4,"0.4",7.8,"0.007","0.002","0.015","1","<1",6.2,86,"1.1","0.058","1.2","CDA","initial"
"3567","Southern","SM1","2021-04-21",1,"Surface Water","0.7","<0.001","4.2","0.04","0.56","0.55","0.03",23.5,"3.5","0.38",2.6,34,"<0.2",7.6,"0.019","0.003","<0.002","<1","<1",4.6,65,"1.3","0.029","0.5","CDA","initial"
"3568","Southern","SM1","2021-04-21",1,"Middle Water","0.7","<0.001","4.2","0.03","0.63","0.63","0.04",23.3,"4.3","0.38",2.6,34,"<0.2",7.6,"0.003","0.002","<0.002","<1","<1",4.7,67,"1.3","0.034","0.4","CDA","initial"
"3569","Southern","SM1","2021-04-21",1,"Bottom Water","<0.5","<0.001","5.4","0.05","0.57","0.56","0.05",23.3,"3.8","0.39",2.6,34,"<0.2",7.6,"0.014","0.003","<0.002","<1","<1",4.8,68,"1.1","0.042","0.2","CDA","initial"
"3570","Southern","SM1","2021-05-12",1,"Surface Water","<0.5","<0.001","2.6","N/A","N/A","N/A","0.19",27.9,"<0.5","0.34",4.6,29.9,"<0.2",7.7,"<0.002","0.017","0.14","21","20",4.7,71,"6","0.031","1.1","CDA","initial"
"3571","Southern","SM1","2021-05-12",1,"Middle Water","<0.5","<0.001","2.7","N/A","N/A","N/A","0.09",25.8,"0.9","0.35",4.6,33.3,"0.6",7.6,"0.002","0.006","0.046","<1","<1",5,74,"4.6","0.036","0.7","CDA","initial"
"3572","Southern","SM1","2021-05-12",1,"Bottom Water","0.8","<0.001","4.9","N/A","N/A","N/A","0.07",25.3,"3.2","0.44",4.6,33.8,"0.8",7.5,"0.004","0.004","0.026","2","1",4.3,63,"2.6","0.043","0.6","CDA","initial"
"3573","Southern","SM1","2021-06-11",1,"Surface Water","0.7","<0.001","3","N/A","N/A","N/A","0.04",27.8,"1.7","0.09",2.9,32.3,"0.4",7.7,"0.005","0.003","0.005","3","3",4.8,73,"3.1","0.027","0.8","CDA","initial"
"3574","Southern","SM1","2021-06-11",1,"Middle Water","0.8","<0.001","3.4","N/A","N/A","N/A","0.04",27.6,"2.9","0.1",2.9,32.5,"0.9",7.7,"0.005","0.004","0.003","<1","<1",4.8,73,"2","0.031","0.6","CDA","initial"
"3575","Southern","SM1","2021-06-11",1,"Bottom Water","0.8","<0.001","4","N/A","N/A","N/A","0.03",26.7,"2.7","0.1",2.9,33.1,"1",7.6,"0.006","0.004","0.004","2","1",4.6,69,"2.1","0.021","0.6","CDA","initial"
"3576","Southern","SM1","2021-07-12",1,"Surface Water","1.2","<0.001","3.3","N/A","N/A","N/A","0.1",30.3,"2.1","0.06",3.1,30,"1.1",7.6,"<0.002","0.018","0.056","<1","<1",4.3,68,"7.2","0.025","1.5","CDA","middle"
"3577","Southern","SM1","2021-07-12",1,"Middle Water","1.4","<0.001","3","N/A","N/A","N/A","0.12",27,"2.4","0.23",3.1,31.9,"2.4",7.4,"0.004","0.019","0.068","6","2",5,75,"7.8","0.035","1.1","CDA","middle"
"3578","Southern","SM1","2021-07-12",1,"Bottom Water","0.8","<0.001","4","N/A","N/A","N/A","0.12",24.3,"2.8","0.78",3.1,34,"<0.2",7.2,"0.013","0.019","0.078","11","5",3.6,52,"3.2","0.019","0.6","CDA","middle"
"3579","Southern","SM1","2021-08-18",1,"Surface Water","2.1","0.001","3.5","N/A","N/A","N/A","0.11",27.8,"9.9","0.15",2.5,30.8,"<0.2",7.7,"0.003","0.009","0.047","3","<1",4.5,69,"4.4","0.05","1.3","CDA","middle"
"3580","Southern","SM1","2021-08-18",1,"Middle Water","0.8","<0.001","3.6","N/A","N/A","N/A","0.09",24.9,"2.3","0.62",2.5,33,"0.9",7.4,"0.004","0.021","0.041","1","<1",5.2,76,"7.6","0.032","1.4","CDA","middle"
"3581","Southern","SM1","2021-08-18",1,"Bottom Water","0.9","<0.001","5","N/A","N/A","N/A","0.08",23,"3.3","1",2.5,34.3,"0.5",7.3,"0.006","0.033","0.031","1","<1",3.5,50,"2.1","0.02","0.7","CDA","middle"
"3582","Southern","SM1","2021-09-06",1,"Surface Water","1","<0.001","3.5","N/A","N/A","N/A","0.1",28.2,"2.1","0.5",2.6,31.5,"0.2",7.5,"0.003","0.005","0.057","<1","<1",4.6,70,"5.1","0.036","0.9","CDA","middle"
"3583","Southern","SM1","2021-09-06",1,"Middle Water","0.9","<0.001","3","N/A","N/A","N/A","0.1",27.1,"2","0.52",2.6,32.5,"1.4",7.4,"<0.002","0.006","0.06","<1","<1",4.9,74,"5.6","0.037","1","CDA","middle"
"3584","Southern","SM1","2021-09-06",1,"Bottom Water","0.8","<0.001","6.4","N/A","N/A","N/A","0.18",24.3,"3.2","1.3",2.6,33.7,"1.9",7.2,"0.013","0.034","0.11","3","1",3.3,47,"3.8","0.032","0.5","CDA","middle"
"3585","Southern","SM1","2021-10-21",1,"Surface Water","<0.5","0.003","9.5","N/A","N/A","N/A","0.08",27.4,"1.6","0.72",3.3,32.8,"<0.2",8,"0.009","0.015","0.012","1","<1",5.8,87,"1.2","0.048","0.6","CDA","middle"
"3586","Southern","SM1","2021-10-21",1,"Middle Water","0.6","0.002","5.1","N/A","N/A","N/A","0.07",27.3,"1.7","0.7",3.3,32.9,"<0.2",8,"0.01","0.015","0.012","<1","<1",5.4,82,"1.1","0.041","0.4","CDA","middle"
"3587","Southern","SM1","2021-10-21",1,"Bottom Water","0.8","0.002","7.1","N/A","N/A","N/A","0.06",27.1,"3.2","0.72",3.3,32.9,"<0.2",8,"0.009","0.015","0.01","<1","<1",5.7,86,"1.3","0.038","1.5","CDA","middle"
"3588","Southern","SM1","2021-11-01",1,"Surface Water","<0.5","<0.001","7.4","N/A","N/A","N/A","0.08",25.6,"1.9","0.72",2.9,33.3,"0.5",7.6,"0.009","0.03","0.021","<1","<1",5.5,81,"0.9","0.027","0.4","CDA","middle"
"3589","Southern","SM1","2021-11-01",1,"Middle Water","<0.5","<0.001","6.3","N/A","N/A","N/A","0.07",25.8,"1.6","0.72",2.9,33.2,"0.3",7.6,"0.009","0.03","0.02","1","1",6.1,91,"1.3","0.024","0.3","CDA","middle"
"3590","Southern","SM1","2021-11-01",1,"Bottom Water","0.7","<0.001","8.8","N/A","N/A","N/A","0.06",25.8,"3","0.73",2.9,33.3,"0.6",7.6,"0.01","0.03","0.018","<1","<1",6.1,90,"1.3","0.014","0.3","CDA","middle"
"3591","Southern","SM1","2021-12-17",1,"Surface Water","0.6","<0.001","14","0.04","0.65","0.64","0.04",21,"3.3","0.78",2.3,33.8,"0.8",7.7,"0.007","0.011","<0.002","<1","<1",6.1,84,"1.8","0.022","0.5","CDA","middle"
"3592","Southern","SM1","2021-12-17",1,"Middle Water","0.7","<0.001","7.4","0.02","0.75","0.74","0.03",20.9,"3","0.79",2.3,33.8,"0.8",7.7,"0.006","0.005","<0.002","<1","<1",6.8,93,"1.3","0.023","0.3","CDA","middle"
"3593","Southern","SM1","2021-12-17",1,"Bottom Water","<0.5","<0.001","7.8","0.02","0.93","0.93","0.03",20.9,"1.8","0.76",2.3,33.8,"1.5",7.7,"0.006","<0.002","<0.002","9","5",6.7,91,"1.3","0.025","0.3","CDA","middle"
"3594","Southern","SM1","2022-01-10",1,"Surface Water","0.9","<0.001","15.6","0.03","0.61","0.58","0.05",19.4,"2.8","0.47",3,33.6,"0.4",7.6,"0.008","0.005","0.021","<1","<1",6.8,90,"1.2","0.019","0.5","CDA","middle"
"3595","Southern","SM1","2022-01-10",1,"Middle Water","0.8","<0.001","9.4","0.02","0.66","0.63","0.04",19.4,"2.5","0.49",3,33.7,"0.7",7.6,"0.008","0.004","0.023","<1","<1",7.2,96,"1","0.016","0.3","CDA","middle"
"3596","Southern","SM1","2022-01-10",1,"Bottom Water","1","<0.001","9.5","0.02","0.34","0.31","0.05",19.4,"3.3","0.52",3,33.7,"0.5",7.6,"0.008","0.004","0.025","<1","<1",7.2,96,"1","0.021","0.2","CDA","middle"
"3597","Southern","SM1","2022-02-11",1,"Surface Water","0.8","<0.001","6.1","0.03","0.18","0.1","0.09",16.9,"4.5","0.66",3.2,32.9,"0.2",7.5,"0.011","0.018","0.058","<1","<1",6.6,84,"0.9","0.017","0.4","CDA","middle"
"3598","Southern","SM1","2022-02-11",1,"Middle Water","0.7","<0.001","6.2","0.03","0.21","0.13","0.13",16.7,"2.7","0.69",3.2,32.9,"0.5",7.5,"0.015","0.019","0.062","<1","<1",7.4,92,"0.5","0.045","0.4","CDA","middle"
"3599","Southern","SM1","2022-02-11",1,"Bottom Water","0.6","<0.001","6","0.03","0.23","0.16","0.09",17,"2.4","0.64",3.2,33.1,"<0.2",7.5,"0.012","0.015","0.056","<1","<1",7.4,94,"0.9","0.021","0.3","CDA","middle"
"3600","Southern","SM1","2022-04-14",1,"Surface Water","0.7","0.003","7.6","0.02","0.36","0.36","0.04",22.5,"1.3","0.32",6.5,32.4,"<0.2",8.3,"<0.002","<0.002","<0.002","2","1",6.2,86,"1.8","0.039","0.8","CDA","middle"
"3601","Southern","SM1","2022-04-14",1,"Middle Water","0.9","0.002","5.9","0.02","0.48","0.48","0.04",21.6,"1.6","0.32",6.5,32.7,"1.3",8.3,"<0.002","<0.002","<0.002","<1","<1",7.6,104,"1.9","0.035","0.8","CDA","middle"
"3602","Southern","SM1","2022-04-14",1,"Bottom Water","0.9","0.002","7","0.02","0.45","0.44","0.04",21.3,"2.2","0.36",6.5,32.9,"<0.2",8.3,"<0.002","0.003","<0.002","<1","<1",7,96,"3.2","0.037","0.6","CDA","middle"
"3603","Southern","SM1","2022-05-05",1,"Surface Water","2.2","0.002","8.4","<0.02","0.1","0.1","0.06",24,"9.3","0.16",3.4,33.3,"0.6",8.1,"<0.002","<0.002","<0.002","1","<1",5.8,83,"2.3","0.051","0.5","CDA","middle"
"3604","Southern","SM1","2022-05-05",1,"Middle Water","1.1","0.001","6.7","<0.02","0.07","0.07","0.03",23.9,"4","0.17",3.4,33.3,"1",8.1,"<0.002","<0.002","<0.002","<1","<1",6.6,94,"2.5","0.024","0.5","CDA","middle"
"3605","Southern","SM1","2022-05-05",1,"Bottom Water","1.4","0.001","7.3","<0.02","0.21","0.21","0.04",23.8,"6.2","0.19",3.4,33.4,"0.6",8,"<0.002","<0.002","<0.002","<1","<1",6.5,93,"2.6","0.031","0.5","CDA","middle"
"3606","Southern","SM1","2022-06-02",1,"Surface Water","<0.5","0.002","6.8","0.04","0.44","0.22","0.25",27.6,"0.9","0.71",4,28.8,"0.4",8,"<0.002","0.008","0.21","2","<1",6.2,92,"2.5","0.034","0.7","CDA","middle"
"3607","Southern","SM1","2022-06-02",1,"Middle Water","<0.5","0.001","5.9","0.02","1.21","1.1","0.15",25.6,"0.7","0.62",4,32.8,"0.2",7.9,"0.004","0.004","0.11","1","<1",6.4,94,"1.9","0.031","0.3","CDA","middle"
"3608","Southern","SM1","2022-06-02",1,"Bottom Water","1.2","0.001","6.9","0.04","0.34","0.12","0.25",25.2,"2.4","0.71",4,33.4,"<0.2",7.9,"0.002","0.007","0.21","3","<1",5.2,76,"2.5","0.034","0.5","CDA","middle"
"3609","Southern","SM1","2022-07-18",1,"Surface Water","1.2","0.002","8.5","0.03","0.49","0.19","0.33",28.8,"3.2","1.5",1.9,25.3,"3.5",8.1,"<0.002","0.024","0.28","4","<1",6,90,"14","0.024","1.8","CDA","final"
"3610","Southern","SM1","2022-07-18",1,"Middle Water","1","0.001","7.2","0.03","0.47","0.22","0.29",26.3,"3.2","1.3",1.9,29.6,"3.4",7.8,"<0.002","0.023","0.23","20","11",6.3,93,"8.1","0.038","0.9","CDA","final"
"3611","Southern","SM1","2022-07-18",1,"Bottom Water","0.8","<0.001","10.3","0.04","0.26","0.1","0.17",22.9,"6.6","1.1",1.9,34.3,"1.1",7.8,"0.01","0.014","0.15","4","3",3.3,47,"1.6","0.006","0.5","CDA","final"
"3612","Southern","SM1","2022-08-19",1,"Surface Water","1","<0.001","0.1","0.03","0.3","0.26","0.06",29.4,"3","0.2",4.5,30.1,"0.5",7.7,"<0.002","0.004","0.032","<1","<1",5.5,85,"4.6","0.024","1.8","CDA","final"
"3613","Southern","SM1","2022-08-19",1,"Middle Water","0.9","<0.001","5.1","0.02","0.14","0.1","0.07",28.4,"2.6","0.18",4.5,30.4,"1.1",7.7,"<0.002","0.007","0.037","3","<1",7.5,114,"5.6","0.021","1.7","CDA","final"
"3614","Southern","SM1","2022-08-19",1,"Bottom Water","0.8","<0.001","6.5","0.03","0.24","0.16","0.1",25.9,"2.2","0.46",4.5,32.6,"0.8",7.4,"0.006","0.013","0.064","2","<1",3.9,57,"3.8","0.023","1.5","CDA","final"
"3615","Southern","SM1","2022-09-01",1,"Surface Water","1.2","<0.001","8.4","0.04","0.49","0.45","0.07",28.6,"2.1","0.31",2.8,31.5,"2.2",7.5,"<0.002","0.004","0.04","<1","<1",6.1,94,"9.1","0.028","1.6","CDA","final"
"3616","Southern","SM1","2022-09-01",1,"Middle Water","1","<0.001","11.9","0.03","0.51","0.45","0.09",27.9,"2.6","0.27",2.8,31.8,"2.4",7.5,"<0.002","0.004","0.053","2","<1",6.6,100,"10","0.033","1.7","CDA","final"
"3617","Southern","SM1","2022-09-01",1,"Bottom Water","1","<0.001","81.8","0.04","0.25","0.16","0.12",26.4,"3.4","0.6",2.8,33,"3.2",7.3,"<0.002","0.013","0.075","1","1",4,59,"5.3","0.031","0.9","CDA","final"
"3618","Southern","SM1","2022-10-19",1,"Surface Water","1.3","<0.001","4.2","0.06","0.48","0.44","0.06",26.1,"6.6","0.96",1.9,33.2,"0.4",8.1,"0.012","0.014","0.024","1","<1",5.1,76,"1.3","0.017","0.5","CDA","final"
"3619","Southern","SM1","2022-10-19",1,"Middle Water","1.2","<0.001","4.2","0.06","0.4","0.36","0.05",26.2,"7.1","0.93",1.9,33.4,"0.7",8.1,"0.012","0.015","0.022","<1","<1",5.8,87,"1.1","0.013","0.3","CDA","final"
"3620","Southern","SM1","2022-10-19",1,"Bottom Water","1.7","<0.001","4.2","0.07","0.42","0.38","0.05",26.2,"14","0.99",1.9,33.4,"1.3",8.1,"0.014","0.014","0.024","1","<1",5.7,85,"0.9","0.016","0.2","CDA","final"
"3621","Southern","SM1","2022-11-11",1,"Surface Water","0.8","<0.001","37.7","0.07","0.76","0.58","0.19",23.2,"3.5","1.4",2.8,32.7,"0.4",7.3,"0.019","0.009","0.17","2","1",6.5,91,"0.9","0.007","0.8","CDA","final"
"3622","Southern","SM1","2022-11-11",1,"Middle Water","0.8","<0.001","38.5","0.08","0.58","0.39","0.2",23,"3.8","1.5",2.8,32.8,"0.3",7.3,"0.025","0.011","0.18","12","4",6.7,95,"0.8","0.013","0.3","CDA","final"
"3623","Southern","SM1","2022-11-11",1,"Bottom Water","<0.5","<0.001","47","0.08","0.47","0.29","0.19",23,"2.3","1.5",2.8,32.8,"<0.2",7.3,"0.02","0.011","0.17","3","<1",6.8,95,"0.8","0.009","0.4","CDA","final"
"3624","Southern","SM1","2022-12-05",1,"Surface Water","0.9","<0.001","4.1","0.05","0.7","0.67","0.04",22.6,"3.4","0.39",2.1,32.8,"0.3",8.1,"<0.002","0.003","0.023","<1","<1",5.6,78,"2.1","0.017","0.3","CDA","final"
"3625","Southern","SM1","2022-12-05",1,"Middle Water","1.7","<0.001","4.2","0.05","0.6","0.58","0.04",23.1,"8.6","0.35",2.1,33.1,"0.3",8.1,"0.014","0.003","0.02","<1","<1",6.5,92,"2.2","0.02","0.2","CDA","final"
"3626","Southern","SM1","2022-12-05",1,"Bottom Water","0.8","0.001","4.2","0.06","0.63","0.61","0.05",23.3,"4.2","0.38",2.1,33.2,"<0.2",8.1,"0.028","0.002","0.02","1","<1",6.3,90,"1.5","0.024","<0.1","CDA","final"
"3627","Southern","SM10","2020-06-04",1,"Surface Water","4.4","0.004","14.6","0.04","0.91","0.52","0.45",28.1,"14","1.4",2.6,25.3,"1.9",8.1,"0.006","0.1","0.29","3","<1",6,89,"8.4","0.058","1.3","PC","initial"
"3628","Southern","SM10","2020-06-04",1,"Bottom Water","2.6","0.005","4.1","<0.02","0.42","0.07","0.4",28.1,"11","1.2",2.6,25.8,"1.7",8.2,"0.004","0.093","0.26","1","1",6.6,98,"14","0.05","1.3","PC","initial"
"3629","Southern","SM10","2020-07-08",1,"Surface Water","3.8","0.006","4.7","0.05","0.52","0.18","0.42",27.9,"16","1.1",2.1,24.6,"4.8",8.1,"0.009","0.039","0.3","130","55",6.9,100,"19","0.076","2.2","PC","initial"
"3630","Southern","SM10","2020-07-08",1,"Bottom Water","3.7","0.008","5.5","0.06","0.5","0.17","0.42",27.7,"16","1.3",2.1,24.9,"4.9",8.2,"0.009","0.037","0.29","240","80",6.8,99,"18","0.095","1.8","PC","initial"
"3631","Southern","SM10","2020-09-30",1,"Surface Water","1.4","0.004","6","0.07","0.67","0.44","0.32",29.5,"6","1.4",1.8,29.7,"<0.2",7.9,"0.014","0.039","0.19","3","2",5,77,"7.6","0.094","0.7","PC","initial"
"3632","Southern","SM10","2020-09-30",1,"Bottom Water","2.4","0.004","7.6","0.08","0.72","0.49","0.32",29,"9.6","1.5",1.8,29.9,"1.9",7.9,"0.015","0.04","0.19","17","7",5.6,86,"5.1","0.091","0.7","PC","initial"
"3633","Southern","SM10","2020-10-15",1,"Surface Water","2.4","0.006","7.7","0.05","0.51","0.44","0.21",27,"15","0.74",1.6,32.4,"1.9",7.9,"0.016","0.012","0.056","53","22",5.7,86,"2.1","0.14","0.5","PC","initial"
